"Отдел","Контрагент","Итого","cnt_first","cnt_second"
Отдел труб и штоков,ТЕТА-ЭЛЕКТРО ООО,6699620.09,6,5
Отдел труб и штоков,ТолочинЛогистика АО (БЕЛАРУСЬ),8042244.94,6,5
Трубка и РВД,ОктябрьскийТрейд АО (БЕЛАРУСЬ),49020.48,1,0
Трубка и РВД,АмурСервис ООО,287622.14,2,4
Отдел труб и штоков,ВЕТЕР-ЭЛЕКТРО ООО,109682.08,1,2
Трубка и РВД,ЙотаЛогистика АО,2614460.79,6,4
Трубка и РВД,БрагинЭнерго ООО (БЕЛАРУСЬ),3165.90,1,0
Трубка и РВД,АтырауКом АО (КАЗАХСТАН),128555.42,0,2
Трубка и РВД,СатурнФинанс ТОО (КИРГИЗИЯ),17424.58,0,1
Трубка и РВД,ДЯДЯ ПЕТЯ ООО,8290.70,2,0
Отдел труб и штоков,КАППА-ЭНЕРГО ООО,6852929.01,6,5
Трубка и РВД,КлимовичиЛогистика ООО (БЕЛОРУСЬ),77490.00,2,1
Отдел труб и штоков,ВерхнедвинскМаш ООО (ТАДЖИКИСТАН),,0,0
Отдел труб и штоков,КлимовичиСервис ООО (БЕЛОРУСЬ),48811.73,1,1
Отдел труб и штоков,ОМЕГА-49 ООО,20897.05,0,2
Трубка и РВД,"ООО ""Паллант инжиниринг""",197445.60,3,2
Трубка и РВД,ЧечерскЛогистика АО (БЕЛАРУСЬ),1196.28,1,0
Трубка и РВД,РоссоныИнновации ТОО (КАЗАХСТАН),299131.81,1,1
Трубка и РВД,ДубровноФарма ТОО (КИРГИЗИЯ),66528.00,1,0
Трубка и РВД,АктобеЭнерго ТОО (КАЗАХСТАН),3044.04,1,0
Отдел труб и штоков,ХаосЭнерго АО,911232.10,0,2
Трубка и РВД,"АО ""Михайловский ГОК им. А.В. Варичева""",500962.47,5,3
Отдел труб и штоков,БраславЛогистика ТОО (АРМЕНИЯ),181094.69,1,0
Трубка и РВД,СемейМаш АО (РОССИЯ),14663.42,2,2
Трубка и РВД,ЮграПроект АО (РОССИЯ),18517.08,0,1
Трубка и РВД,ХарьковСервис ООО,148720.32,1,0
Отдел труб и штоков,КлимовичиТрейд ООО (АЗЕРБАЙДЖАН),141978.05,1,0
Отдел труб и штоков,ЙОТА-ПЛЮС ООО,1461407.82,6,5
Отдел труб и штоков,УранИндустрия ООО (АЗЕРБАЙДЖАН),17337153.84,6,4
Трубка и РВД,ТверьПроект ТОО (КИРГИЗИЯ),218484.00,1,2
Отдел труб и штоков,ОМЕГА-КОМ ООО,3482215.45,6,3
Трубка и РВД,ФиннТрейд ТОО,93139.20,1,4
Трубка и РВД,БобруйскТех ООО (БЕЛАРУСЬ),12107.62,1,0
Трубка и РВД,КарагандаЭкспорт ТОО (КИРГИЗИЯ),11413.47,1,0
Отдел труб и штоков,СлавгородТранс АО (ГРУЗИЯ),1535.81,1,0
Трубка и РВД,КостанайСервис АО (КАЗАХСТАН),33235.44,0,1
Трубка и РВД,БетаТех АО,98978.18,4,2
Отдел труб и штоков,ЛунаМед АО,20978.13,2,2
Трубка и РВД,ШкловКом ТОО (БЕЛАРУСЬ),109825.98,1,0
Отдел труб и штоков,ЭТА-МАШ ООО,29831.54,1,2
Трубка и РВД,ДонЭнерго ОАО,264500.33,2,0
Трубка и РВД,ЯмалоНенецкийЭнерго ООО,15694.66,1,0
Отдел труб и штоков,КостюковичиТранс ООО (АЗЕРБАЙДЖАН),3000.00,1,0
Отдел труб и штоков,"ОАО ""ДАЛ""",2915558.62,6,3
Трубка и РВД,УфаЛогистика АО (МОЛДОВА),56849.76,1,0
Трубка и РВД,ДубровноИндустрия АО (БЕЛАРУСЬ),102884.40,0,1
Трубка и РВД,ЧаусыИнвест АО (БЕЛАРУСЬ),166608.26,2,3
Трубка и РВД,ЗетаСервис АО,27811.80,3,1
Трубка и РВД,"АО ""АТЗ""",2782.63,1,1
Отдел труб и штоков,ИвановоФарма ООО (БЕЛАРУСЬ),4709971.97,3,4
Трубка и РВД,БраславФинанс АО (МОЛДОВА),83466.05,2,1
Отдел труб и штоков,МЮ-ТОРГ ООО,1204545.68,6,5
Трубка и РВД,"АО ""АВИАБОР""",153312.71,6,5
Трубка и РВД,МогилевЛогистика ООО (БЕЛАРУСЬ),33400.08,1,0
Трубка и РВД,НенецкийАОТранс ТОО (КАЗАХСТАН),35123.95,0,1
Трубка и РВД,КалинковичиЭнерго ООО (БЕЛАРУСЬ),7440.42,1,1
Отдел труб и штоков,СИБИРЬ-ЭЛЕКТРО ООО,18576.63,1,0
Отдел труб и штоков,МиорыТрейд ООО (АЗЕРБАЙДЖАН),460372.68,3,2
Трубка и РВД,ДраконЭнерго АО,384857.28,4,3
Трубка и РВД,ГорноалтайскПроект ООО,42941.70,0,2
Отдел труб и штоков,ЦимлянскКонсалт ООО,1916446.56,0,1
Трубка и РВД,ЗабайкальеТранс ООО (АЗЕРБАЙДЖАН),254041.80,0,2
Трубка и РВД,ТулаЭнерго ООО (ТАДЖИКИСТАН),31343.04,0,2
Отдел труб и штоков,ОМЕГА-МАШ ООО,996187.33,3,4
Отдел труб и штоков,РАЗВИТИЕ-ТЕХ ООО,81748.26,0,2
Трубка и РВД,ЖодиноСтрой ТОО (БЕЛАРУСЬ),2682092.95,5,1
Отдел труб и штоков,"ООО ""Техпром""",532905.63,3,1
Трубка и РВД,ОршаЭкспорт АО (БЕЛАРУСЬ),1616.80,1,0
Отдел труб и штоков,НЮ-МАШ ООО,44709.26,1,1
Отдел труб и штоков,ЖитковичиСервис ООО (БЕЛОРУСЬ),223146.62,3,1
Отдел труб и штоков,МЕГАПОЛИС СПБ ООО,325217.70,1,0
Трубка и РВД,КрасноярскСтроительство ТОО,128105.52,2,0
Трубка и РВД,СенненскийКом ТОО (БЕЛАРУСЬ),24094.80,0,2
Отдел труб и штоков,ДрогичинТранс ООО (АЗЕРБАЙДЖАН),3958.82,0,1
Трубка и РВД,ПружаныЭкспорт ТОО (КИРГИЗИЯ),66420.00,0,1
Трубка и РВД,ХотимскИндустрия АО (БЕЛАРУСЬ),40320.00,1,0
Трубка и РВД,МинскТранс ТОО (КАЗАХСТАН),775962.35,3,1
Трубка и РВД,КраснопольеКом ТОО (БЕЛАРУСЬ),4212.00,1,0
Отдел труб и штоков,СахалинЭкспорт АО (УКРАИНА),292214.91,2,0
Трубка и РВД,ИмперияЛогистика ООО,15120.00,1,0
Отдел труб и штоков,ПИ-ИНЖ ООО,260551.37,0,1
Отдел труб и штоков,КомаринФарма АО (БЕЛАРУСЬ),115029.48,4,1
Трубка и РВД,ЧечерскПроект ООО (УЗБЕКИСТАН),39557.28,3,0
Отдел труб и штоков,РоссоныФарма ТОО (КИРГИЗИЯ),3116.00,1,0
Отдел труб и штоков,ИвацевичиСервис ООО (БЕЛАРУСЬ),7444.92,1,0
Отдел труб и штоков,ХиМед ООО (БЕЛОРУСЬ),63597.08,0,2
Отдел труб и штоков,РО-ЭЛЕКТРО ООО,1124056.95,6,5
Отдел труб и штоков,ИвановоЭкспорт АО (БЕЛАРУСЬ),2049039.78,6,5
Трубка и РВД,ЖодиноСервис ООО (БЕЛАРУСЬ),21721.44,0,1
Трубка и РВД,СтолинМед ТОО (БЕЛАРУСЬ),9916.80,1,0
Трубка и РВД,КировскМаш АО (РОССИЯ),19932.48,0,1
Трубка и РВД,КировскФарма ООО (БЕЛАРУСЬ),826328.60,3,5
Трубка и РВД,ЯкутскИнновации ТОО (КАЗАХСТАН),50721.64,2,1
Трубка и РВД,СолигорскМед ООО (БЕЛАРУСЬ),948772.21,2,3
Отдел труб и штоков,ТаразТранс ООО (АЗЕРБАЙДЖАН),794966.79,5,4
Отдел труб и штоков,РЕГИОН-ЭЛЕКТРО ООО,104408089.50,6,5
Отдел труб и штоков,КраснопольеМед АО (УКРАИНА),259246.22,0,1
Трубка и РВД,ПиИнновации АО,71115.96,2,0
Отдел труб и штоков,АЛЬФА-39 ООО,32046.96,1,2
Отдел труб и штоков,ТуровПроект АО (БЕЛАРУСЬ),67668.57,1,0
Трубка и РВД,ХаосЭнерго АО,30240.00,0,1
Отдел труб и штоков,ЧукоткаИнновации АО,163155.59,2,2
Отдел труб и штоков,КОСМОС-ПРОД ООО,2477674.40,4,0
Отдел труб и штоков,"НЮ-ЭНЕРГО ООО, Воронеж",152936.60,3,1
Отдел труб и штоков,ОсиповичиСервис ТОО (БЕЛАРУСЬ),498906.52,6,5
Трубка и РВД,РоссоныСтрой ТОО (БЕЛАРУСЬ),25596.28,0,2
Отдел труб и штоков,ПИ-ПРОМ ООО,7460.72,1,0
Трубка и РВД,ШкловФинанс ООО (БЕЛОРУСЬ),56052.00,2,0
Отдел труб и штоков,ПинскМаш ТОО (ТУРКМЕНИСТАН),41930.40,2,0
Отдел труб и штоков,ПИ-ИНВЕСТ ООО,1644678.57,6,4
Отдел труб и штоков,БЕЛГОРОД-СТРОЙ ООО,20381.52,1,2
Отдел труб и штоков,ЛенаМед АО,497047.38,3,4
Трубка и РВД,"ОАО ""АК ""АСТРАХАНСКИЕ АВИАЛИНИИ""",734715.06,2,3
Отдел труб и штоков,ЮпитерСервис АО,4611871.21,6,5
Трубка и РВД,"ООО КБ ""АДМИРАЛТЕЙСКИЙ""",16422.00,1,0
Трубка и РВД,ХотимскЭкспорт ООО (УЗБЕКИСТАН),38985.91,2,0
Трубка и РВД,АдыгеяСтрой АО,133134.12,3,1
Отдел труб и штоков,НаровляЛогистика ТОО (АРМЕНИЯ),127931.82,1,2
Трубка и РВД,КраснопольеЭкспорт ТОО (КИРГИЗИЯ),3036.96,0,1
Трубка и РВД,КамаИнновации ТОО,696.77,0,1
Трубка и РВД,КамчаткаТрейд ООО (АЗЕРБАЙДЖАН),58860.72,0,1
Трубка и РВД,"ПАО ""АВТОДИЗЕЛЬ"" (ЯМЗ)",708755.77,6,5
Трубка и РВД,"ООО ""АМТ Н.В.""",22680.00,1,0
Отдел труб и штоков,ТАУ-ПРОМ ООО,79857.00,0,1
Трубка и РВД,ХойникиФарма АО (БЕЛАРУСЬ),9790.08,1,0
Отдел труб и штоков,НаровляИнновации ООО (БЕЛАРУСЬ),1926865.52,5,3
Трубка и РВД,БарнаулТрейд АО (ГРУЗИЯ),438188.38,3,5
Трубка и РВД,"ООО ""Аквилон"" ",31992.70,0,1
Отдел труб и штоков,КомаринЭкспорт АО (УКРАИНА),653131.00,6,4
Трубка и РВД,ОрелТех АО,66210.10,2,1
Отдел труб и штоков,"ФИ-ПЛЮС ООО, Барнаул",15833.48,2,0
Отдел труб и штоков,ДЕЛЬТА-ТОРГ ООО,2292422.58,6,4
Отдел труб и штоков,МОСКВА-СТРОЙ ООО,5378.52,0,1
Трубка и РВД,ЕльскПроект ТОО (КИРГИЗИЯ),80170.56,0,1
Отдел труб и штоков,ДОН-МАШ ООО,180534.96,0,1
Отдел труб и штоков,"АЛЬФА-49 ООО, Москва",922504.54,2,0
Отдел труб и штоков,ФИ-МАШ ООО,321819.95,2,0
Отдел труб и штоков,ПСИ-ТОРГ ООО,433598.33,0,1
Отдел труб и штоков,ЭкибастузЭнерго ТОО (КАЗАХСТАН),212829.58,2,2
Трубка и РВД,ЖитковичиЛогистика АО (МОЛДОВА),42562.56,1,0
Трубка и РВД,КалинковичиФарма АО (БЕЛАРУСЬ),23328.00,1,0
Трубка и РВД,ЧечерскИндустрия ООО (БЕЛАРУСЬ),158410.79,1,1
Трубка и РВД,ТолочинКом ТОО (БЕЛАРУСЬ),9889.00,1,0
Трубка и РВД,УранИндустрия ООО,1472323.86,4,2
Трубка и РВД,ИвацевичиМед ООО (БЕЛАРУСЬ),2529367.70,1,2
Трубка и РВД,ДагестанТрейд АО (ГРУЗИЯ),1900.80,0,1
Трубка и РВД,ОсиповичиКонсалт ООО (АЗЕРБАЙДЖАН),47775.12,2,0
Отдел труб и штоков,ЭФФЕКТ-ПЛЮС ООО,594508.16,3,4
Трубка и РВД,ХарьковЭнерго ООО (ТАДЖИКИСТАН),9902.25,1,0
Трубка и РВД,СтарыеДорогиТрейд АО (БЕЛАРУСЬ),32317.32,1,0
Трубка и РВД,Егоршинский радиозавод ОАО,15442.92,0,1
Трубка и РВД,"ОАО ""АЛНАС""",472731.56,0,4
Отдел труб и штоков,ПинскКом АО (БЕЛАРУСЬ),178146.32,0,2
Отдел труб и штоков,ПСИ-КОМ ООО,1527364.00,6,5
Отдел труб и штоков,КСИ-ТОРГ ООО,1992460.65,6,5
Отдел труб и штоков,ЕльскИнновации ТОО (КАЗАХСТАН),88677.76,0,3
Трубка и РВД,ХиМед ООО (БЕЛОРУСЬ),181451.04,3,2
Трубка и РВД,СевастопольТранс АО,65652.62,1,0
Трубка и РВД,ДонецкФарма ТОО (КИРГИЗИЯ),137657.04,4,1
Трубка и РВД,СтолбцыФарма АО (БЕЛАРУСЬ),2435.40,1,0
Отдел труб и штоков,МстиславльЭкспорт АО (БЕЛАРУСЬ),115208.28,3,1
Трубка и РВД,ЛиозноФарма ООО (УЗБЕКИСТАН),59270.40,0,1
Трубка и РВД,ЛьвовЛогистика АО (МОЛДОВА),58103.16,3,1
Трубка и РВД,ХантыМансийскийТех ТОО,6630.96,0,2
Отдел труб и штоков,ЭКО-СТРОЙ ООО,361018.69,1,1
Трубка и РВД,КировскСтрой АО (БЕЛАРУСЬ),9240.48,1,0
Трубка и РВД,"ООО ""Липецкая трубная компания ""Свободный сокол""",58027.14,1,0
Отдел труб и штоков,"ЗЕТА-СТРОЙ ООО, Казань",59036.58,0,1
Отдел труб и штоков,АЛЬФА-51 ООО,2701.32,1,0
Отдел труб и штоков,ЧувашияМед ТОО,667.24,1,0
Трубка и РВД,СевастопольМаш ООО (ТАДЖИКИСТАН),2036.56,0,1
Трубка и РВД,ЕльскТех ООО (БЕЛАРУСЬ),200552.27,1,2
Отдел труб и штоков,ОМИКРОН-МАШ ООО,1238121.26,4,5
Трубка и РВД,ЗабайкальеЛогистика ООО,3660.60,0,1
Трубка и РВД,МарьинаГоркаТрейд АО (БЕЛАРУСЬ),10215.80,1,0
Отдел труб и штоков,МстиславльТранс АО (ГРУЗИЯ),32374.42,3,1
Трубка и РВД,КурскФинанс ООО,1959336.75,6,5
Трубка и РВД,"ООО ""Партнер""",2565061.52,6,5
